"","Div","Date","HomeTeam","AwayTeam","FTR","FTHG","FTAG","PSCH","PSCD","PSCA"
"1","SP2","11/08/2023","Amorebieta","Levante","D",1,1,3.19,3.13,2.54
"2","SP2","11/08/2023","Valladolid","Sp Gijon","H",2,0,1.94,3.4,4.55
"3","SP2","12/08/2023","Santander","Eibar","H",4,0,3.28,2.9,2.65
"4","SP2","12/08/2023","Zaragoza","Villarreal B","H",2,0,1.95,3.24,4.82
"5","SP2","12/08/2023","Elche","Ferrol","A",0,1,1.72,3.67,5.65
"6","SP2","13/08/2023","Burgos","Huesca","D",1,1,2.25,2.95,4.08
"7","SP2","13/08/2023","Albacete","Espanol","D",1,1,2.37,3.24,3.36
"8","SP2","13/08/2023","Cartagena","Eldense","A",0,1,2.22,3.15,3.83
"9","SP2","13/08/2023","Leganes","Andorra","A",0,1,2.51,2.92,3.49
"10","SP2","14/08/2023","Mirandes","Alcorcon","H",4,0,3.09,2.93,2.76
"11","SP2","14/08/2023","Tenerife","Oviedo","H",1,0,2,3.02,5.04
"12","SP2","18/08/2023","Andorra","Cartagena","H",3,2,1.88,3.56,4.6
"13","SP2","18/08/2023","Zaragoza","Valladolid","H",1,0,2.06,3.22,4.3
"14","SP2","19/08/2023","Eibar","Elche","H",2,1,2.33,3.02,3.75
"15","SP2","19/08/2023","Espanol","Santander","H",2,0,1.93,3.37,4.64
"16","SP2","19/08/2023","Levante","Burgos","H",3,2,1.93,3.26,4.9
"17","SP2","19/08/2023","Alcorcon","Leganes","A",0,2,2.71,2.85,3.26
"18","SP2","20/08/2023","Oviedo","Ferrol","D",1,1,2.15,2.95,4.47
"19","SP2","20/08/2023","Sp Gijon","Mirandes","H",3,0,2,3.24,4.55
"20","SP2","20/08/2023","Albacete","Amorebieta","D",2,2,1.66,3.65,6.48
"21","SP2","21/08/2023","Villarreal B","Eldense","H",3,1,2.36,3.15,3.49
"22","SP2","21/08/2023","Huesca","Tenerife","A",0,2,3.45,2.82,2.61
"23","SP2","25/08/2023","Cartagena","Levante","A",0,1,3.4,3.15,2.4
"24","SP2","26/08/2023","Burgos","Oviedo","H",1,0,2.42,2.84,3.81
"25","SP2","26/08/2023","Tenerife","Zaragoza","A",0,1,2.3,2.87,4.09
"26","SP2","26/08/2023","Elche","Villarreal B","H",1,0,1.6,4.12,6.2
"27","SP2","26/08/2023","Valladolid","Alcorcon","A",0,2,2.11,3.19,4.16
"28","SP2","27/08/2023","Ferrol","Sp Gijon","H",2,0,2.3,2.97,3.9
"29","SP2","27/08/2023","Amorebieta","Andorra","H",3,0,3.18,3.02,2.62
"30","SP2","27/08/2023","Mirandes","Espanol","A",0,1,3.54,3.12,2.35
"31","SP2","27/08/2023","Leganes","Albacete","H",2,0,2.76,2.88,3.15
"32","SP2","28/08/2023","Eldense","Eibar","H",2,1,2.99,2.84,2.94
"33","SP2","28/08/2023","Santander","Huesca","D",0,0,2.06,3.22,4.31
"34","SP2","01/09/2023","Alcorcon","Ferrol","D",1,1,2.28,2.95,3.99
"35","SP2","01/09/2023","Albacete","Valladolid","H",2,0,2.15,3.32,3.81
"36","SP2","02/09/2023","Sp Gijon","Burgos","H",2,1,2.39,3.02,3.6
"37","SP2","02/09/2023","Levante","Oviedo","D",1,1,1.96,3.14,4.96
"38","SP2","02/09/2023","Elche","Santander","D",1,1,1.92,3.51,4.46
"39","SP2","02/09/2023","Villarreal B","Cartagena","A",1,2,2.11,3.47,3.75
"40","SP2","03/09/2023","Andorra","Tenerife","A",0,1,2.24,3.03,3.98
"41","SP2","03/09/2023","Eibar","Leganes","A",0,1,1.87,3.34,5.14
"42","SP2","03/09/2023","Espanol","Amorebieta","H",3,2,1.54,3.99,7.65
"43","SP2","03/09/2023","Zaragoza","Eldense","H",2,0,1.83,3.28,5.59
"44","SP2","03/09/2023","Huesca","Mirandes","D",1,1,2.1,3.15,4.25
"45","SP2","08/09/2023","Levante","Espanol","A",1,4,2.55,3.27,2.97
"46","SP2","09/09/2023","Burgos","Eibar","H",1,0,3.36,3.01,2.51
"47","SP2","09/09/2023","Oviedo","Sp Gijon","D",0,0,2.53,2.88,3.51
"48","SP2","09/09/2023","Leganes","Huesca","H",2,0,2.04,3.12,4.58
"49","SP2","09/09/2023","Tenerife","Albacete","H",2,0,2.14,3.18,4.07
"50","SP2","10/09/2023","Ferrol","Villarreal B","D",2,2,1.88,3.53,4.63
"51","SP2","10/09/2023","Santander","Amorebieta","H",1,0,1.8,3.47,5.36
"52","SP2","10/09/2023","Cartagena","Zaragoza","A",1,3,3.1,2.96,2.7
"53","SP2","10/09/2023","Mirandes","Andorra","H",4,3,2.88,3.12,2.79
"54","SP2","10/09/2023","Valladolid","Elche","D",1,1,2.42,3.22,3.29
"55","SP2","11/09/2023","Eldense","Alcorcon","D",2,2,2.45,3.01,3.49
"56","SP2","15/09/2023","Zaragoza","Santander","D",1,1,2.1,3.1,4.37
"57","SP2","16/09/2023","Huesca","Villarreal B","D",2,2,1.9,3.39,4.8
"58","SP2","16/09/2023","Alcorcon","Levante","A",0,2,2.46,2.96,3.53
"59","SP2","16/09/2023","Valladolid","Cartagena","H",1,0,1.78,3.71,5.02
"60","SP2","16/09/2023","Albacete","Burgos","H",2,1,1.78,3.45,5.59
"61","SP2","17/09/2023","Amorebieta","Mirandes","H",2,0,2.48,3.17,3.24
"62","SP2","17/09/2023","Eibar","Ferrol","H",2,0,1.97,3.24,4.7
"63","SP2","17/09/2023","Elche","Leganes","H",1,0,1.88,3.31,5.07
"64","SP2","17/09/2023","Espanol","Eldense","D",3,3,1.56,4.04,6.99
"65","SP2","17/09/2023","Sp Gijon","Tenerife","H",2,1,2.62,2.82,3.44
"66","SP2","18/09/2023","Andorra","Oviedo","H",1,0,2.27,3.02,3.89
"67","SP2","22/09/2023","Cartagena","Eibar","A",1,2,3.51,3.08,2.39
"68","SP2","23/09/2023","Andorra","Sp Gijon","D",0,0,2.31,3.04,3.75
"69","SP2","23/09/2023","Levante","Eldense","H",2,0,1.75,3.61,5.47
"70","SP2","23/09/2023","Burgos","Elche","H",4,0,3.02,3.05,2.71
"71","SP2","23/09/2023","Alcorcon","Huesca","A",0,2,2.31,2.91,3.98
"72","SP2","23/09/2023","Santander","Albacete","H",2,1,2.66,3,3.15
"73","SP2","24/09/2023","Villarreal B","Amorebieta","H",3,1,2.33,3.35,3.34
"74","SP2","24/09/2023","Oviedo","Valladolid","A",0,1,2.51,2.92,3.48
"75","SP2","24/09/2023","Mirandes","Leganes","A",1,3,2.29,2.99,3.89
"76","SP2","25/09/2023","Ferrol","Zaragoza","H",1,0,2.26,3.06,3.85
"77","SP2","25/09/2023","Tenerife","Espanol","H",1,0,2.73,2.99,3.06
"78","SP2","29/09/2023","Leganes","Santander","H",2,1,2.27,2.99,3.94
"79","SP2","30/09/2023","Eibar","Tenerife","H",3,0,1.81,3.35,5.59
"80","SP2","30/09/2023","Elche","Levante","D",0,0,2.3,3.32,3.42
"81","SP2","30/09/2023","Albacete","Andorra","H",3,1,1.93,3.44,4.55
"82","SP2","30/09/2023","Villarreal B","Alcorcon","D",2,2,2.59,3.22,3.02
"83","SP2","01/10/2023","Eldense","Oviedo","A",1,3,2.95,2.85,2.96
"84","SP2","01/10/2023","Amorebieta","Cartagena","D",0,0,2.72,3.09,2.98
"85","SP2","01/10/2023","Valladolid","Burgos","H",3,0,1.87,3.43,4.95
"86","SP2","01/10/2023","Zaragoza","Mirandes","A",0,1,1.88,3.38,4.97
"87","SP2","01/10/2023","Huesca","Sp Gijon","A",0,1,2.83,2.82,3.14
"88","SP2","02/10/2023","Espanol","Ferrol","H",3,0,1.54,4.19,7.04
"89","SP2","03/10/2023","Alcorcon","Albacete","A",1,2,3.14,3.04,2.63
"90","SP2","03/10/2023","Levante","Villarreal B","D",1,1,1.66,4.17,5.31
"91","SP2","03/10/2023","Tenerife","Santander","H",2,0,1.96,3.23,4.79
"92","SP2","04/10/2023","Eldense","Valladolid","A",0,1,3.61,3.32,2.23
"93","SP2","04/10/2023","Oviedo","Huesca","H",1,0,1.85,3.15,5.82
"94","SP2","04/10/2023","Burgos","Leganes","H",1,0,2.29,2.9,4.04
"95","SP2","04/10/2023","Sp Gijon","Elche","H",2,0,2.39,3.09,3.5
"96","SP2","05/10/2023","Andorra","Zaragoza","A",0,1,2.57,3.05,3.23
"97","SP2","05/10/2023","Mirandes","Eibar","A",1,3,4.05,3.17,2.15
"98","SP2","05/10/2023","Cartagena","Espanol","A",0,2,3.73,3.45,2.13
"99","SP2","05/10/2023","Ferrol","Amorebieta","H",1,0,1.71,3.58,5.95
"100","SP2","06/10/2023","Albacete","Levante","A",0,2,2.06,3.34,4.09
"101","SP2","07/10/2023","Huesca","Eldense","A",0,1,2.12,3.07,4.34
"102","SP2","07/10/2023","Santander","Sp Gijon","H",3,2,2.82,2.96,2.99
"103","SP2","07/10/2023","Leganes","Oviedo","D",0,0,2.51,2.78,3.72
"104","SP2","08/10/2023","Amorebieta","Eibar","A",1,2,4.77,3.2,1.97
"105","SP2","08/10/2023","Valladolid","Mirandes","H",3,2,1.61,3.89,6.57
"106","SP2","08/10/2023","Ferrol","Cartagena","D",1,1,1.89,3.32,4.98
"107","SP2","08/10/2023","Tenerife","Burgos","H",2,1,1.83,3.21,5.81
"108","SP2","08/10/2023","Zaragoza","Alcorcon","A",0,2,1.96,3.21,4.83
"109","SP2","09/10/2023","Elche","Andorra","H",2,1,1.86,3.52,4.78
"110","SP2","09/10/2023","Villarreal B","Espanol","H",3,1,4.5,3.8,1.83
"111","SP2","13/10/2023","Oviedo","Albacete","H",3,0,2.56,2.91,3.4
"112","SP2","14/10/2023","Mirandes","Tenerife","D",1,1,3.33,3.04,2.51
"113","SP2","14/10/2023","Cartagena","Santander","A",2,3,2.39,3.1,3.48
"114","SP2","14/10/2023","Sp Gijon","Zaragoza","D",2,2,1.99,3.31,4.49
"115","SP2","14/10/2023","Espanol","Valladolid","H",2,0,1.86,3.61,4.65
"116","SP2","15/10/2023","Burgos","Villarreal B","H",3,2,1.88,3.41,4.82
"117","SP2","15/10/2023","Andorra","Alcorcon","H",2,0,2.25,3.03,3.95
"118","SP2","15/10/2023","Eldense","Elche","D",1,1,3.5,3.18,2.34
"119","SP2","15/10/2023","Eibar","Huesca","D",1,1,1.59,3.7,7.53
"120","SP2","15/10/2023","Leganes","Amorebieta","H",6,0,1.74,3.63,5.58
"121","SP2","16/10/2023","Levante","Ferrol","H",1,0,2.05,3.31,4.2
"122","SP2","20/10/2023","Espanol","Leganes","A",0,1,1.76,3.67,5.3
"123","SP2","21/10/2023","Amorebieta","Oviedo","D",0,0,3.78,2.93,2.37
"124","SP2","21/10/2023","Villarreal B","Mirandes","A",0,3,2.02,3.51,4.02
"125","SP2","21/10/2023","Tenerife","Levante","D",0,0,2.25,3.16,3.75
"126","SP2","21/10/2023","Zaragoza","Eibar","A",2,3,3.07,2.8,2.91
"127","SP2","22/10/2023","Ferrol","Eldense","D",1,1,1.97,3.29,4.58
"128","SP2","22/10/2023","Huesca","Elche","A",0,1,3.14,3.01,2.65
"129","SP2","22/10/2023","Albacete","Sp Gijon","A",1,3,2.19,3.1,4.02
"130","SP2","22/10/2023","Santander","Burgos","H",3,0,2.1,3.31,3.99
"131","SP2","22/10/2023","Valladolid","Andorra","H",2,0,1.7,3.73,5.68
"132","SP2","23/10/2023","Alcorcon","Cartagena","D",1,1,2.15,3.21,3.97
"133","SP2","27/10/2023","Eibar","Valladolid","H",5,1,2.06,3.1,4.53
"134","SP2","28/10/2023","Eldense","Amorebieta","H",2,0,1.76,3.77,5.11
"135","SP2","28/10/2023","Andorra","Levante","H",2,0,2.39,3.13,3.44
"136","SP2","28/10/2023","Sp Gijon","Espanol","H",2,0,2.53,3.2,3.13
"137","SP2","28/10/2023","Elche","Tenerife","H",2,1,2.05,3.2,4.37
"138","SP2","29/10/2023","Mirandes","Cartagena","H",2,1,2.26,3.24,3.61
"139","SP2","29/10/2023","Huesca","Albacete","D",0,0,3.3,2.79,2.73
"140","SP2","29/10/2023","Leganes","Villarreal B","H",1,0,1.8,3.67,4.96
"141","SP2","29/10/2023","Oviedo","Alcorcon","H",2,0,1.83,3.3,5.59
"142","SP2","29/10/2023","Santander","Ferrol","A",1,3,2.18,3.19,3.92
"143","SP2","30/10/2023","Burgos","Zaragoza","D",1,1,2.44,2.84,3.76
"144","SP2","03/11/2023","Espanol","Eibar","D",2,2,2.51,3.27,3.09
"145","SP2","04/11/2023","Villarreal B","Sp Gijon","A",0,3,3.18,3.37,2.4
"146","SP2","04/11/2023","Levante","Mirandes","D",2,2,1.9,3.53,4.52
"147","SP2","04/11/2023","Valladolid","Tenerife","H",2,0,2.26,3.03,3.91
"148","SP2","04/11/2023","Albacete","Elche","D",1,1,2.16,3.3,3.82
"149","SP2","05/11/2023","Ferrol","Andorra","H",1,0,2.23,3.15,3.83
"150","SP2","05/11/2023","Amorebieta","Huesca","A",0,1,2.92,2.94,2.9
"151","SP2","05/11/2023","Alcorcon","Santander","H",3,1,2.63,3.22,2.97
"152","SP2","05/11/2023","Cartagena","Leganes","A",0,3,2.98,3.03,2.76
"153","SP2","05/11/2023","Eldense","Burgos","H",2,0,2.27,3.04,3.87
"154","SP2","06/11/2023","Zaragoza","Oviedo","D",0,0,2.79,2.8,3.21
"155","SP2","10/11/2023","Leganes","Levante","H",2,1,1.9,3.23,5.17
"156","SP2","11/11/2023","Santander","Valladolid","A",2,3,2.66,3.13,3.01
"157","SP2","11/11/2023","Elche","Zaragoza","H",2,0,2.07,3.26,4.19
"158","SP2","11/11/2023","Mirandes","Ferrol","A",1,2,2.48,3.04,3.39
"159","SP2","11/11/2023","Sp Gijon","Amorebieta","D",1,1,1.42,4.48,9.52
"160","SP2","12/11/2023","Burgos","Alcorcon","H",4,2,2.03,3.18,4.52
"161","SP2","12/11/2023","Andorra","Eldense","A",1,3,1.9,3.47,4.64
"162","SP2","12/11/2023","Huesca","Espanol","D",1,1,3.57,3.05,2.38
"163","SP2","12/11/2023","Tenerife","Villarreal B","A",0,1,1.74,3.53,5.82
"164","SP2","12/11/2023","Eibar","Albacete","D",1,1,1.79,3.55,5.34
"165","SP2","13/11/2023","Oviedo","Cartagena","D",1,1,1.85,3.25,5.5
"166","SP2","17/11/2023","Valladolid","Leganes","D",1,1,2.19,2.99,4.22
"167","SP2","18/11/2023","Alcorcon","Sp Gijon","D",0,0,3.34,3.07,2.48
"168","SP2","18/11/2023","Amorebieta","Tenerife","H",2,0,2.92,2.88,2.96
"169","SP2","18/11/2023","Zaragoza","Huesca","A",0,2,2.14,3.03,4.34
"170","SP2","18/11/2023","Espanol","Elche","H",2,0,1.86,3.58,4.71
"171","SP2","19/11/2023","Ferrol","Burgos","D",1,1,2.1,3.11,4.33
"172","SP2","19/11/2023","Eldense","Mirandes","D",2,2,2.23,3.26,3.66
"173","SP2","19/11/2023","Oviedo","Eibar","H",2,1,2.76,2.87,3.1
"174","SP2","19/11/2023","Cartagena","Albacete","D",1,1,3.69,3.23,2.24
"175","SP2","19/11/2023","Villarreal B","Andorra","D",0,0,2.61,3.46,2.81
"176","SP2","20/11/2023","Levante","Santander","A",2,4,2.1,3.47,3.79
"177","SP2","24/11/2023","Huesca","Valladolid","A",0,1,3.31,2.91,2.62
"178","SP2","25/11/2023","Burgos","Andorra","D",0,0,2.37,3.15,3.47
"179","SP2","25/11/2023","Santander","Villarreal B","H",2,0,1.84,3.91,4.33
"180","SP2","25/11/2023","Albacete","Zaragoza","H",1,0,1.93,3.25,4.92
"181","SP2","25/11/2023","Eibar","Levante","H",3,1,1.85,3.54,4.85
"182","SP2","26/11/2023","Leganes","Ferrol","D",2,2,2.09,3.02,4.58
"183","SP2","26/11/2023","Elche","Amorebieta","H",2,0,1.41,4.57,9.47
"184","SP2","26/11/2023","Mirandes","Oviedo","H",2,1,3.38,2.82,2.65
"185","SP2","26/11/2023","Tenerife","Cartagena","D",1,1,1.88,3.22,5.33
"186","SP2","26/11/2023","Espanol","Alcorcon","H",2,0,1.46,4.63,7.68
"187","SP2","27/11/2023","Sp Gijon","Eldense","H",2,0,1.89,3.43,4.75
