"","Div","Date","HomeAway","Equipo","FTR","FTHG","FTAG","PSCH","PSCD","PSCA","Ret","Fee","PSCH_adj","PSCD_adj","PSCA_adj","PH","PD","PA"
"1","SP1",2023-08-11,"HomeTeam","Almeria","A",0,2,2.66,3.25,2.96,0.978981276732495,0.0210187232675048,2.71711018711019,3.31977748425117,3.02355118565645,0.368038073959585,0.301225008225383,0.330736917815032
"2","SP1",2023-08-11,"AwayTeam","Vallecano","A",0,2,2.66,3.25,2.96,0.978981276732495,0.0210187232675048,2.71711018711019,3.31977748425117,3.02355118565645,0.368038073959585,0.301225008225383,0.330736917815032
"3","SP1",2023-08-11,"HomeTeam","Sevilla","A",1,2,1.94,3.46,4.58,0.977687346554553,0.0223126534454468,1.9842744276447,3.53896366992302,4.68452416423336,0.503962549770388,0.282568597270102,0.213468852959509
"4","SP1",2023-08-11,"AwayTeam","Valencia","A",1,2,1.94,3.46,4.58,0.977687346554553,0.0223126534454468,1.9842744276447,3.53896366992302,4.68452416423336,0.503962549770388,0.282568597270102,0.213468852959509
"5","SP2",2023-08-11,"HomeTeam","Amorebieta","D",1,1,3.19,3.13,2.54,0.974023542966875,0.0259764570331252,3.27507484088451,3.21347468713746,2.6077398419582,0.305336533845415,0.311189630340855,0.38347383581373
"6","SP2",2023-08-11,"AwayTeam","Levante","D",1,1,3.19,3.13,2.54,0.974023542966875,0.0259764570331252,3.27507484088451,3.21347468713746,2.6077398419582,0.305336533845415,0.311189630340855,0.38347383581373
"7","SP2",2023-08-11,"HomeTeam","Valladolid","H",2,0,1.94,3.4,4.55,0.971475738840514,0.0285242611594859,1.99696186166774,3.49983006684038,4.68359611885991,0.500760690123976,0.285728158482504,0.21351115139352
"8","SP2",2023-08-11,"AwayTeam","Sp Gijon","H",2,0,1.94,3.4,4.55,0.971475738840514,0.0285242611594859,1.99696186166774,3.49983006684038,4.68359611885991,0.500760690123976,0.285728158482504,0.21351115139352
"9","SP1",2023-08-12,"HomeTeam","Ath Bilbao","A",0,2,3.44,3.5,2.24,0.977669508729192,0.0223304912708079,3.51857142857143,3.57994186046512,2.29116279069767,0.284206252537556,0.279334145351198,0.436459602111246
"10","SP1",2023-08-12,"AwayTeam","Real Madrid","A",0,2,3.44,3.5,2.24,0.977669508729192,0.0223304912708079,3.51857142857143,3.57994186046512,2.29116279069767,0.284206252537556,0.279334145351198,0.436459602111246
"11","SP1",2023-08-12,"HomeTeam","Las Palmas","D",1,1,2.64,2.93,3.32,0.97915417346612,0.0208458265338803,2.69620461367655,2.99237860533041,3.39068155962354,0.37089173237353,0.334182311763181,0.294925955863289
"12","SP1",2023-08-12,"AwayTeam","Mallorca","D",1,1,2.64,2.93,3.32,0.97915417346612,0.0208458265338803,2.69620461367655,2.99237860533041,3.39068155962354,0.37089173237353,0.334182311763181,0.294925955863289
"13","SP1",2023-08-12,"HomeTeam","Sociedad","D",1,1,1.85,3.6,4.91,0.978488606951032,0.0215113930489682,1.89067096628196,3.67914350195409,5.01794294294294,0.528912760514071,0.271802390819731,0.199284848666198
"14","SP1",2023-08-12,"AwayTeam","Girona","D",1,1,1.85,3.6,4.91,0.978488606951032,0.0215113930489682,1.89067096628196,3.67914350195409,5.01794294294294,0.528912760514071,0.271802390819731,0.199284848666198
"15","SP2",2023-08-12,"HomeTeam","Elche","A",0,1,1.72,3.67,5.65,0.970058124512116,0.0299418754878842,1.7730896288973,3.78327845235645,5.82439325771497,0.563987281693091,0.264321014853438,0.171691703453472
"16","SP2",2023-08-12,"AwayTeam","Ferrol","A",0,1,1.72,3.67,5.65,0.970058124512116,0.0299418754878842,1.7730896288973,3.78327845235645,5.82439325771497,0.563987281693091,0.264321014853438,0.171691703453472
"17","SP2",2023-08-12,"HomeTeam","Santander","H",4,0,3.28,2.9,2.65,0.973649040132875,0.026350959867125,3.36877033181522,2.97848596410492,2.72171993271657,0.296844219552706,0.335741048321681,0.367414732125613
"18","SP2",2023-08-12,"AwayTeam","Eibar","H",4,0,3.28,2.9,2.65,0.973649040132875,0.026350959867125,3.36877033181522,2.97848596410492,2.72171993271657,0.296844219552706,0.335741048321681,0.367414732125613
"19","SP2",2023-08-12,"HomeTeam","Zaragoza","H",2,0,1.95,3.24,4.82,0.971882120904582,0.0281178790954176,2.00641616720455,3.33373763166294,4.95944919278253,0.498401087643376,0.299963617563143,0.201635294793482
